stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1714575137.184248209, -0.325, -0.938, 0.121, -127.463, 0.944, -0.328, -0.013, 36.988, 0.052, 0.110, 0.993, 13.834
1714575138.284159660, -0.269, -0.944, 0.192, -127.279, 0.963, -0.270, 0.019, 37.120, 0.034, 0.190, 0.981, 13.835
1714575139.284079313, -0.139, -0.967, 0.213, -127.267, 0.986, -0.155, -0.062, 37.068, 0.093, 0.202, 0.975, 13.880
1714575140.184006691, -0.075, -0.975, 0.210, -127.277, 0.995, -0.086, -0.046, 37.467, 0.062, 0.206, 0.977, 13.851
1714575141.283918142, -0.029, -0.977, 0.212, -127.276, 0.998, -0.042, -0.053, 37.465, 0.061, 0.210, 0.976, 13.851
1714575142.283837557, -0.026, -0.983, 0.183, -127.675, 0.995, -0.043, -0.089, 38.061, 0.095, 0.180, 0.979, 13.885
1714575143.183765173, 0.053, -0.988, 0.142, -127.553, 0.994, 0.039, -0.101, 38.212, 0.094, 0.146, 0.985, 13.866
1714575144.183684587, 0.024, -0.989, 0.145, -127.553, 0.999, 0.027, 0.020, 38.239, -0.024, 0.145, 0.989, 13.865
1714575145.083611965, -0.116, -0.986, 0.123, -127.561, 0.993, -0.120, -0.021, 38.229, 0.035, 0.120, 0.992, 13.867
1714575146.083531618, -0.213, -0.966, 0.144, -127.485, 0.974, -0.221, -0.048, 38.176, 0.078, 0.131, 0.988, 13.866
1714575147.083450794, -0.210, -0.964, 0.160, -127.482, 0.973, -0.222, -0.059, 38.174, 0.092, 0.143, 0.985, 13.866
1714575148.083370447, -0.277, -0.942, 0.189, -127.613, 0.955, -0.292, -0.052, 38.309, 0.104, 0.166, 0.981, 14.018
1714575149.083289862, -0.339, -0.925, 0.170, -127.660, 0.933, -0.354, -0.065, 38.465, 0.120, 0.136, 0.983, 14.030
1714575150.083209276, -0.539, -0.838, 0.086, -127.740, 0.842, -0.538, 0.035, 38.830, 0.017, 0.091, 0.996, 14.074
1714575151.083128691, -0.302, -0.944, 0.135, -127.724, 0.945, -0.315, -0.089, 38.804, 0.127, 0.101, 0.987, 14.075
1714575152.083048105, 0.111, -0.968, 0.226, -127.387, 0.989, 0.085, -0.123, 38.600, 0.100, 0.237, 0.966, 13.950
1714575153.382943630, 0.394, -0.891, 0.226, -127.397, 0.919, 0.375, -0.123, 37.927, 0.025, 0.256, 0.966, 13.863
1714575154.482854843, 0.374, -0.902, 0.215, -127.435, 0.928, 0.363, -0.088, 37.731, 0.001, 0.232, 0.973, 13.881
1714575155.582766294, 0.530, -0.816, 0.232, -126.762, 0.846, 0.527, -0.080, 37.909, -0.056, 0.239, 0.970, 13.812
1714575156.682677746, 0.565, -0.800, 0.204, -126.768, 0.825, 0.555, -0.107, 37.903, -0.028, 0.228, 0.973, 13.813
1714575157.582605362, 0.463, -0.852, 0.246, -126.198, 0.885, 0.457, -0.085, 38.520, -0.040, 0.257, 0.966, 13.769
1714575158.582524776, 0.365, -0.906, 0.213, -125.950, 0.931, 0.359, -0.067, 39.213, -0.015, 0.223, 0.975, 13.779
1714575159.682435989, 0.258, -0.946, 0.199, -126.248, 0.966, 0.250, -0.063, 39.480, 0.010, 0.208, 0.978, 13.828
1714575160.882339478, 0.204, -0.963, 0.177, -126.443, 0.979, 0.199, -0.049, 39.530, 0.012, 0.183, 0.983, 13.879
1714575161.982250929, 0.189, -0.968, 0.165, -126.520, 0.982, 0.182, -0.056, 39.576, 0.024, 0.173, 0.985, 13.863
1714575162.882178307, 0.125, -0.978, 0.166, -126.521, 0.992, 0.122, -0.032, 39.581, 0.011, 0.169, 0.986, 13.863
1714575163.782105923, 0.084, -0.981, 0.174, -126.398, 0.996, 0.080, -0.028, 39.794, 0.014, 0.175, 0.984, 13.873
1714575164.682033300, 0.090, -0.977, 0.191, -126.393, 0.995, 0.080, -0.060, 39.787, 0.043, 0.196, 0.980, 13.873
1714575165.681952953, 0.093, -0.978, 0.185, -126.249, 0.995, 0.083, -0.060, 39.789, 0.043, 0.189, 0.981, 13.840
1714575166.581880331, -0.038, -0.987, 0.158, -125.930, 0.996, -0.049, -0.070, 39.920, 0.077, 0.155, 0.985, 13.759
1714575167.781783819, -0.074, -0.986, 0.150, -125.685, 0.996, -0.080, -0.036, 39.914, 0.048, 0.147, 0.988, 13.729
1714575168.981687069, 0.028, -0.984, 0.174, -125.345, 0.998, 0.019, -0.055, 39.480, 0.050, 0.176, 0.983, 13.662
1714575170.081598520, 0.047, -0.987, 0.156, -125.287, 0.997, 0.038, -0.060, 39.440, 0.054, 0.158, 0.986, 13.609
1714575170.981525898, 0.061, -0.983, 0.176, -125.515, 0.998, 0.060, -0.012, 39.242, 0.001, 0.176, 0.984, 13.630
1714575172.081437349, 0.078, -0.982, 0.173, -125.377, 0.997, 0.076, -0.019, 38.988, 0.005, 0.174, 0.985, 13.582
1714575173.181348801, 0.323, -0.933, 0.157, -125.333, 0.947, 0.318, -0.056, 38.927, 0.003, 0.167, 0.986, 13.565
1714575174.181268215, 0.545, -0.830, 0.116, -125.184, 0.838, 0.543, -0.054, 38.659, -0.019, 0.127, 0.992, 13.528
1714575175.181187868, 0.517, -0.849, 0.107, -125.081, 0.856, 0.514, -0.058, 38.653, -0.006, 0.121, 0.993, 13.521
1714575176.381091118, 0.518, -0.843, 0.142, -124.816, 0.854, 0.519, -0.036, 38.525, -0.043, 0.140, 0.989, 13.509
1714575177.381010532, 0.379, -0.910, 0.170, -124.580, 0.925, 0.377, -0.045, 38.841, -0.023, 0.174, 0.984, 13.458
1714575178.480921984, 0.297, -0.931, 0.211, -124.555, 0.952, 0.307, 0.017, 38.841, -0.080, 0.195, 0.977, 13.464
1714575179.680825233, 0.315, -0.933, 0.175, -124.562, 0.949, 0.313, -0.041, 38.828, -0.017, 0.179, 0.984, 13.466
1714575180.680744886, 0.248, -0.955, 0.164, -124.414, 0.969, 0.245, -0.038, 39.455, -0.004, 0.168, 0.986, 13.469
1714575181.780656099, 0.136, -0.976, 0.168, -124.416, 0.990, 0.129, -0.050, 39.453, 0.027, 0.173, 0.985, 13.469
1714575182.780575752, -0.012, -0.985, 0.171, -124.553, 1.000, -0.015, -0.020, 39.364, 0.022, 0.171, 0.985, 13.500
1714575183.980479002, -0.026, -0.983, 0.182, -124.551, 0.999, -0.033, -0.035, 39.361, 0.040, 0.181, 0.983, 13.500
1714575185.080390453, -0.021, -0.987, 0.160, -124.909, 0.999, -0.027, -0.030, 39.753, 0.034, 0.160, 0.987, 13.560
1714575186.080309868, -0.039, -0.991, 0.126, -124.475, 0.999, -0.042, -0.022, 39.983, 0.027, 0.125, 0.992, 13.468
1714575187.080229282, -0.030, -0.987, 0.155, -124.468, 0.998, -0.039, -0.055, 39.975, 0.061, 0.153, 0.986, 13.468
1714575188.080148697, -0.082, -0.985, 0.149, -124.048, 0.994, -0.092, -0.058, 40.382, 0.071, 0.143, 0.987, 13.391
