stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1727351285.300016880, 0.582, 0.767, 0.271, -80.459, -0.752, 0.634, -0.179, -57.061, -0.309, -0.099, 0.946, -6.055
1727351286.298839331, 0.646, 0.740, 0.186, -81.113, -0.725, 0.671, -0.154, -57.028, -0.239, -0.036, 0.970, -5.919
1727351287.298508406, 0.703, 0.709, 0.052, -81.854, -0.703, 0.705, -0.097, -57.003, -0.105, 0.032, 0.994, -5.824
1727351288.299404383, 0.760, 0.649, 0.034, -82.620, -0.646, 0.760, -0.070, -56.996, -0.071, 0.031, 0.997, -5.814
1727351289.297788620, 0.995, 0.092, -0.042, -83.138, -0.090, 0.995, 0.032, -56.999, 0.044, -0.028, 0.999, -5.830
1727351290.199198723, 0.612, -0.790, -0.034, -83.228, 0.791, 0.610, 0.040, -57.088, -0.011, -0.051, 0.999, -5.820
1727351291.299515009, -0.024, -0.999, -0.030, -83.108, 1.000, -0.024, 0.013, -57.288, -0.014, -0.030, 0.999, -5.817
1727351292.196299791, -0.508, -0.861, -0.006, -82.775, 0.861, -0.508, -0.020, -57.566, 0.014, -0.016, 1.000, -5.823
1727351293.298392057, -0.668, -0.742, 0.053, -82.198, 0.741, -0.670, -0.045, -57.679, 0.069, 0.009, 0.998, -5.845
1727351294.298783541, -0.678, -0.712, 0.180, -81.578, 0.690, -0.702, -0.178, -57.795, 0.254, 0.003, 0.967, -5.906
1727351295.300433397, -0.593, -0.760, 0.268, -80.970, 0.715, -0.649, -0.260, -57.882, 0.371, 0.037, 0.928, -6.078
1727351296.300265074, -0.401, -0.886, 0.234, -80.451, 0.854, -0.454, -0.255, -58.021, 0.332, 0.098, 0.938, -6.254
1727351297.297981024, -0.279, -0.943, 0.180, -79.944, 0.928, -0.313, -0.204, -58.228, 0.249, 0.110, 0.962, -6.410
1727351298.298178434, -0.099, -0.985, 0.142, -79.573, 0.986, -0.117, -0.122, -58.477, 0.136, 0.127, 0.982, -6.531
1727351299.299339533, -0.236, -0.969, -0.077, -79.435, 0.969, -0.228, -0.096, -58.665, 0.076, -0.097, 0.992, -6.524
1727351300.299476385, -0.105, -0.968, -0.227, -79.247, 0.985, -0.133, 0.112, -58.772, -0.139, -0.211, 0.968, -6.541
1727351301.200852633, -0.299, -0.949, -0.094, -79.115, 0.943, -0.310, 0.122, -58.855, -0.145, -0.052, 0.988, -6.563
1727351302.298241854, -0.300, -0.951, -0.078, -79.117, 0.943, -0.308, 0.124, -58.860, -0.142, -0.037, 0.989, -6.563
1727351303.299319029, -0.300, -0.950, -0.081, -79.119, 0.943, -0.309, 0.125, -58.860, -0.143, -0.039, 0.989, -6.566
1727351304.198576212, -0.300, -0.950, -0.081, -79.120, 0.943, -0.309, 0.125, -58.862, -0.144, -0.039, 0.989, -6.564
1727351305.298943043, -0.300, -0.947, -0.114, -79.135, 0.941, -0.313, 0.124, -58.862, -0.153, -0.070, 0.986, -6.563
1727351306.299883366, -0.300, -0.943, -0.144, -79.154, 0.941, -0.317, 0.120, -58.857, -0.158, -0.100, 0.982, -6.563
1727351307.299666166, -0.298, -0.937, -0.183, -79.179, 0.940, -0.321, 0.112, -58.863, -0.164, -0.139, 0.977, -6.563
1727351343.702504635, -0.225, -0.949, 0.220, -79.665, 0.960, -0.254, -0.114, -59.026, 0.164, 0.186, 0.969, -6.626
1727351344.400854826, -0.216, -0.957, 0.195, -79.621, 0.965, -0.239, -0.105, -59.052, 0.148, 0.166, 0.975, -6.630
1727351345.501733303, -0.209, -0.953, 0.219, -79.655, 0.965, -0.238, -0.113, -59.041, 0.160, 0.188, 0.969, -6.637
1727351351.002131224, -0.229, -0.957, 0.181, -79.670, 0.963, -0.249, -0.099, -59.014, 0.140, 0.151, 0.979, -6.621
1727351351.802560568, -0.228, -0.956, 0.184, -79.672, 0.963, -0.249, -0.101, -59.023, 0.142, 0.155, 0.978, -6.620
1727351352.702006340, -0.248, -0.944, 0.218, -79.677, 0.951, -0.280, -0.130, -59.037, 0.183, 0.175, 0.967, -6.621
1727351353.702399731, -0.272, -0.937, 0.218, -79.681, 0.942, -0.306, -0.139, -59.039, 0.196, 0.167, 0.966, -6.625
1727351354.702255487, -0.264, -0.951, 0.162, -79.654, 0.952, -0.284, -0.117, -59.058, 0.157, 0.123, 0.980, -6.618
1727351355.702968597, -0.306, -0.927, 0.215, -79.668, 0.932, -0.338, -0.130, -59.049, 0.193, 0.161, 0.968, -6.632
1727351356.702647448, -0.306, -0.928, 0.214, -79.670, 0.932, -0.338, -0.129, -59.048, 0.192, 0.160, 0.968, -6.630
1727351357.803358316, -0.307, -0.927, 0.215, -79.665, 0.932, -0.339, -0.130, -59.048, 0.193, 0.160, 0.968, -6.629
1727351358.702023506, -0.308, -0.926, 0.217, -79.666, 0.931, -0.341, -0.134, -59.050, 0.198, 0.160, 0.967, -6.627
1727351359.702200174, -0.309, -0.925, 0.219, -79.673, 0.929, -0.343, -0.137, -59.049, 0.202, 0.161, 0.966, -6.629
1727351360.702040434, -0.323, -0.920, 0.222, -79.673, 0.923, -0.358, -0.142, -59.046, 0.210, 0.159, 0.965, -6.632
1727351361.702553034, -0.378, -0.922, 0.080, -79.530, 0.920, -0.383, -0.076, -59.121, 0.101, 0.045, 0.994, -6.573
1727351362.702968359, -0.421, -0.885, 0.199, -79.728, 0.871, -0.455, -0.183, -59.057, 0.252, 0.096, 0.963, -6.614
1727351363.703053474, -0.440, -0.869, 0.225, -79.721, 0.866, -0.477, -0.149, -59.042, 0.237, 0.130, 0.963, -6.624
1727351364.702573538, -0.441, -0.865, 0.238, -79.712, 0.869, -0.478, -0.128, -59.035, 0.225, 0.151, 0.963, -6.624
1727351365.703622103, -0.441, -0.865, 0.239, -79.716, 0.870, -0.477, -0.124, -59.034, 0.221, 0.153, 0.963, -6.625
1727351366.702867508, -0.441, -0.865, 0.239, -79.715, 0.870, -0.477, -0.124, -59.035, 0.221, 0.153, 0.963, -6.626
1727351367.703887939, -0.428, -0.852, 0.300, -79.682, 0.859, -0.487, -0.157, -59.058, 0.280, 0.190, 0.941, -6.621
1727351368.702476740, -0.477, -0.828, 0.296, -79.720, 0.827, -0.537, -0.170, -59.070, 0.299, 0.163, 0.940, -6.618
1727351369.702575207, -0.569, -0.777, 0.269, -79.789, 0.769, -0.619, -0.162, -59.059, 0.292, 0.115, 0.949, -6.568
1727351370.703486919, -0.711, -0.645, 0.281, -80.149, 0.658, -0.751, -0.059, -59.076, 0.249, 0.142, 0.958, -6.473
1727351371.703457355, -0.542, -0.765, 0.348, -80.472, 0.759, -0.623, -0.188, -59.202, 0.361, 0.162, 0.918, -6.438
1727351372.704812050, -0.039, -0.952, 0.304, -80.393, 0.954, -0.127, -0.272, -59.304, 0.298, 0.280, 0.913, -6.479
1727351373.706267118, 0.686, -0.718, 0.117, -80.218, 0.721, 0.648, -0.247, -59.424, 0.102, 0.254, 0.962, -6.556
1727351374.703396082, 0.847, -0.486, 0.217, -80.135, 0.530, 0.802, -0.274, -59.812, -0.040, 0.347, 0.937, -6.605
1727351375.702606916, 0.846, -0.498, 0.192, -80.175, 0.533, 0.807, -0.253, -59.951, -0.029, 0.317, 0.948, -6.619
1727351376.703402996, 0.826, -0.504, 0.255, -80.226, 0.562, 0.778, -0.282, -60.427, -0.056, 0.376, 0.925, -6.713
